|0
Svenska Deckarakademins pris för bästa svenska kriminalroman|10
Lambda Literary Award Nominee for Gay Men's Fiction|10
Seiun Award 星雲賞 for Best Translated Long Story|10
Locus Award for Best Collection|10
National Book Critics Circle Award for Biography/Autobiography|10
Creative Freedom Award|10
Society of Midland Authors Award for Adult Fiction|10
Compton Crook Award|10
The CWA Dagger of Daggers Nominee|10
Golden Archer Award|10
Pacific Northwest Library Association Young Reader's Choice Award for Intermediate|10
Iowa High School Book Award|10
National Jewish Book Award for Children's Literature|10
Virginia Reader's Choice for Middle|10
Shamus Award Nominee for Best Original PI Paperback|9
National Book Critics Circle Award Nominee for Criticism|9
The Age Book of the Year|9
Jane Addams Children's Book Award|9
Lambda Literary Award Nominee for Gay Men's Mystery|9
Locus Award for Best SF Novel|9
Michigan Library Association Thumbs Up! Award|9
Prix Relay du Roman d'Evasion|9
National Jewish Book Award for Fiction|9
Zilveren Vingerafdruk|9
Pacific Northwest Library Association Young Reader's Choice Award for Youth|9
Prix du Grand Roman d'évasion|9
Wyoming Indian Paintbrush Nominee|9
Bram Stoker Award for Best First Novel|9
British Science Fiction Association Award Nominee|9
"دار المنى
...more
Literaturpreis der Jury der jungen Leser for Jugendbuch"|9
Grand Prix du Roman de l'Académie française|9
HOLT Medallion by Virginia Romance Writers Nominee for Long Inspirational|9
"Prime Minister of Pakistan's Award for Literature
...less"|9
Geffen Award|9
Duff Cooper Prize|9
Los Angeles Times Book Prize for Poetry|9
Hammett Prize|9
Soaring Eagle Book Award Nominee|9
ASJA Outstanding Book Award|9
Gouden Penseel|9
Stonewall Book Award|9
Spur Award for Best Western Novel|9
Gumshoe Award Nominee for Best First Novel|9
Deutscher Hörbuchpreis for Beste Fiktion|9
Audie Award for Audiobook of the Year|9
SFBC Award|9
Premi Ictineu for Millor antologia fantàstica en català|9
Koret Jewish Book Award for Fiction|9
Locus Award for Best Dark Fantasy/Horror Novel|9
LovelyBooks Leserpreis Nominee for Allgemeine Literatur|9
Book Sense Book of the Year Award Nominee for Children's Literature|9
Indies Choice Book Award for Picture Book Hall of Fame|9
Garden State Book Award|9
Locus Award Nominee for Best First Novel and Best SF Novel|9
California Book Award for General Literature|9
Golden Sower Award for Young Adult|9
Garden State Book Award for Teen Fiction Grades 6-8|9
Sydney Taylor Book Award for Older Readers|9
Prix Bob Morane for roman traduit|9
Ethel Wilson Fiction Prize Nominee|9
Anthony Award for Best Paperback Original|9
Hawthornden Prize|9
Grand Prix de l'Imaginaire for Roman étranger|9
RITA Award by Romance Writers of America Nominee for Romantic Suspense|9
Barry Award Nominee for Best Paperback Original|9
Weatherford Award|9
Maryland Black-Eyed Susan Book Award for High School|9
Buckeye Children's Book Award for Grade 6-8|9
Alabama Author Award for Nonfiction|8
Ferro-Grumley Award for Lesbian Fiction|8
Deutscher Bücherpreis for Internationale Belletristik|8
South Carolina Book Award for Children's Book|8
John Creasey Memorial Award|8
Whitbread Award Nominee for First Novel|8
National Book Award Finalist for Autobiography/Biography|8
Young Hoosier Book Award for 6-8|8
Laura Ingalls Wilder Award|8
New York Public Library Young Lions Fiction Award|8
Minnesota Book Award|8
P.E.A.R.L.|8
Prix Aurora Award Nominee|8
Audie Award Nominee for Audiobook of the Year and Middle Grade|8
International Dublin Literary Award|8
Thomas Raddall Atlantic Fiction Award|8
Kiriyama Prize for Fiction|8
Los Angeles Times Book Prize for Young Adult Literature|8
Barnes and Noble Discover Great New Writers Award|8
Stephen Leacock Memorial Medal|8
Arthur Ellis Award for Best First Novel|8
Stonewall Book Award Nominee for Literature|8
Nevada Young Readers' Award for Young Adult Category|8
Missouri Gateway Readers Award|8
PEN Center USA Literary Award for Translation|8
Rhode Island Teen Book Award|8
Prijs van de Nederlandse Kinderjury for 10-12 jaar en 13-16 jaar|8
Grand Prix des lectrices de Elle for roman policier|8
Commonwealth Writers' Prize for Best Book in South East Asia and Pacific|8
Premi Protagonista Jove for Categoria 16-17 anys|8
Premio Campiello|8
PEN/Robert W. Bingham Prize|8
Bram Stoker Award Nominee for Best First Novel|8
Governor General's Literary Awards / Prix littéraires du Gouverneur général for Children's Literature — Text|8
Soaring Eagle Book Award for 10-12|8
Maryland Black-Eyed Susan Book Award for Book Award|8
South Carolina Book Award for Young Adult Book Award|8
NCR Book Award|8
Guardian First Book Award|8
Nevada Young Readers' Award for Intermediate Category|8
John W. Campbell Memorial Award|8
Prix Femina for Étranger|8
John Burroughs Medal|8
Scott Moncrieff Prize for Barbara Bray|8
Buckeye Children's Book Award for 6-8|8
Younger Readers|8
Pennsylvania Young Readers' Choice Award for Grades 3-6|8
Pacific Northwest Booksellers Association Award|8
Premio de la Crítica de narrativa castellana|8
Cheltenham Prize for Literature|7
Best Writer|7
Sheila A. Egoff Children’s Literature Prize Nominee|7
Pennsylvania Young Readers' Choice Award for Grades 3-5|7
Lefty Award|7
Prix Laure Bataillon|7
Book Sense Book of the Year Award for Paperback|7
John Llewellyn Rhys Prize Nominee|7
Boardman Tasker Prize Nominee for Mountain Literature|7
Nebula Award for Best Novella|7
Kurd-Laßwitz-Preis for Bestes ausländisches Werk|7
Nautilus Book Award for Audio Books & Spoken Word|7
Seiun Award 星雲賞 Nominee for Best Translated Long Form|7
National Book Award Finalist for Science|7
World Fantasy Award Nominee for Best Anthology|7
Yomiuri Prize 読売文学賞 for Fiction|7
National Book Award Finalist for Children's Book|7
Prix Médicis|7
Kerry Group Irish Fiction Award|7
Royal Society Science Book Prize Nominee for General Prize|7
RITA Award by Romance Writers of America Nominee for Paranormal Romance|7
Los Angeles Times Book Prize for Young Adult Fiction|7
William Faulkner Foundation Award|7
Whitbread Award for Children's Book of the Year and Book of the Year|7
Golden Man Booker Prize|7
CWA Best Ever for Crime Novel|7
Whitbread Award for Children's Novel|7
Premio Fastenrath|7
Prix Goya du premier roman|7
Kurd-Laßwitz-Preis Nominee for Bester ausländischer SF-Roman|7
Royal Society Science Book Prize for General Prize|7
Prix Aurora Award Nominee for Best Long-Form Work in English|7
Locus Award Nominee for All-Time Best Novel|7
French-American Foundation Translation Prize for Fiction|7
Audie Award for Mystery|7
Mary Higgins Clark Award Nominee|7
Zilveren Penseel|7
Grammy Award for Best Spoken Word Album|7
Mississippi Institute of Arts and Letters Award for Literature|7
Helen Bernstein Book Award for Excellence in Journalism|7
Cornelius Ryan Award|7
لاک‌پشت پرنده Nominee|7
Scott Moncrieff Prize for Ina Rilke|7
PEN Translation Prize for Prose for Barbara Bray|7
Young Hoosier Book Award Nominee|7
Prix Ritz-Paris-Hemingway|7
Long Island Reads|7
prix Lucien Barrière|7
National Book Award for Children's Literature|7
Premio Viareggio|7
Los Angeles Times Book Prize for Art Seidenbaum Award for First Fiction|7
دار المنى|7
National Book Award Finalist for Children's Literature|7
Anthony Award Nominee for Best Young Adult Mystery|7
Manitoba Young Readers' Choice Award Nominee|6
Asian/Pacific American Award for Literature for Adult Fiction|6
Laurence L. & Thomas Winship/PEN New England Award for Nonfiction|6
David Higham Prize for Fiction|6
Lambda Literary Award for Lesbian Fiction|6
Premio Nadal|6
James Tiptree Jr. Award for Retrospective|6
Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada|6
Audie Award for Narration by the Author or Authors|6
Golden Scroll Award|6
Land of Enchantment Book Award|6
Ethel Wilson Fiction Prize|6
Audie Award for Inspirational/Spiritual|6
National Book Award for History|6
Audie Award Nominee for Best Male Narrator|6
Locus Award for All-Time Best Novel|6
Nita B. Kibble Literary Award Nominee|6
Columbia Journalism Award|6
Randy Shilts Award for Gay Nonfiction|6
Golden Sower Award for Intermediate Category|6
HOLT Medallion by Virginia Romance Writers Nominee for Paranormal/Time Travel/Futuristic|6
Anthony Award for Young Adult|6
